iter	Passed	Remaining
0	1	104
1	1	94
2	2	93
3	3	84
4	4	81
5	5	82
6	6	79
7	6	78
8	7	78
9	8	77
10	9	76
11	10	74
12	11	75
13	12	74
14	13	73
15	13	72
16	14	70
17	15	69
18	15	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	59
29	25	58
30	26	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
